energy,tally,variance
4.8343E+00,5.09206E-09,0.0590
4.9350E+00,5.88864E-09,0.0561
5.0357E+00,5.23525E-09,0.0601
5.1364E+00,5.62877E-09,0.0595
5.2371E+00,4.94155E-09,0.0613
5.3379E+00,4.36846E-09,0.0650
5.4386E+00,3.77536E-09,0.0692
5.5393E+00,4.46781E-09,0.0641
5.6400E+00,3.93085E-09,0.0698
5.7407E+00,3.78043E-09,0.0705
5.8414E+00,4.12038E-09,0.0691
5.9421E+00,3.62940E-09,0.0749
6.0429E+00,3.20424E-09,0.0797
6.1436E+00,3.39127E-09,0.0773
6.2443E+00,2.72758E-09,0.0844
6.3450E+00,1.97823E-09,0.0980
6.4457E+00,3.24241E-09,0.0814
6.5464E+00,2.95387E-09,0.0823
6.6471E+00,3.24893E-09,0.0808
6.7479E+00,2.95372E-09,0.0842
6.8486E+00,3.19545E-09,0.0826
6.9493E+00,3.12904E-09,0.0808
7.0500E+00,2.97350E-09,0.0847
7.1507E+00,2.90310E-09,0.0851
7.2514E+00,2.32401E-09,0.0983
7.3521E+00,2.36001E-09,0.0958
7.4529E+00,1.46560E-09,0.1191
7.5536E+00,1.63593E-09,0.1107
7.6543E+00,1.09516E-09,0.1334
7.7550E+00,1.11440E-09,0.1336
7.8557E+00,1.09050E-09,0.1406
7.9564E+00,1.01811E-09,0.1420
8.0571E+00,1.33304E-09,0.1218
8.1579E+00,9.21853E-10,0.1528
8.2586E+00,1.38293E-09,0.1255
8.3593E+00,1.22835E-09,0.1318
8.4600E+00,1.08081E-09,0.1376
8.5607E+00,9.38778E-10,0.1495
8.6614E+00,1.48365E-09,0.1200
8.7621E+00,1.05877E-09,0.1445
8.8629E+00,8.91811E-10,0.1556
8.9636E+00,1.04216E-09,0.1487
9.0643E+00,8.75239E-10,0.1565
9.1650E+00,9.90544E-10,0.1519
9.2657E+00,7.35070E-10,0.1745
9.3664E+00,6.26697E-10,0.1815
9.4671E+00,7.97851E-10,0.1692
9.5679E+00,6.73591E-10,0.1752
9.6686E+00,4.78983E-10,0.2162
9.7693E+00,4.57858E-10,0.2233
9.8700E+00,4.45343E-10,0.2379
9.9707E+00,4.68695E-10,0.2259
1.0071E+01,5.42694E-10,0.2068
1.0172E+01,4.93969E-10,0.2197
1.0273E+01,5.13147E-10,0.2055
1.0374E+01,4.81986E-10,0.2238
1.0474E+01,4.80803E-10,0.2122
1.0575E+01,5.26092E-10,0.2198
1.0676E+01,4.23260E-10,0.2379
1.0776E+01,3.80615E-10,0.2445
1.0877E+01,3.98663E-10,0.2460
1.0978E+01,3.39898E-10,0.2644
1.1079E+01,1.06871E-10,0.3982
1.1179E+01,1.60278E-10,0.3751
1.1280E+01,1.58937E-10,0.3875
1.1381E+01,1.84374E-10,0.3745
1.1481E+01,2.12004E-10,0.3502
1.1582E+01,2.00974E-10,0.3516
1.1683E+01,2.28678E-10,0.3644
1.1784E+01,1.68080E-10,0.4097
1.1884E+01,2.35312E-10,0.3423
1.1985E+01,2.62594E-10,0.3252
1.2086E+01,1.37349E-10,0.4106
1.2186E+01,2.77066E-10,0.3153
1.2287E+01,1.26860E-10,0.4442
1.2388E+01,2.15114E-10,0.3574
1.2489E+01,8.60088E-11,0.5792
1.2589E+01,1.62987E-10,0.4045
1.2690E+01,4.73318E-11,0.7262
1.2791E+01,1.98293E-10,0.3533
1.2891E+01,1.29666E-10,0.4243
1.2992E+01,1.29074E-10,0.4588
1.3093E+01,1.41400E-10,0.4278
1.3194E+01,5.09152E-11,0.5130
1.3294E+01,7.15175E-11,0.6201
1.3395E+01,2.12877E-11,0.7083
1.3496E+01,3.67353E-11,1.0000
1.3596E+01,1.26920E-10,0.4426
1.3697E+01,7.47705E-11,0.5780
1.3798E+01,5.33528E-11,0.7072
1.3899E+01,1.31308E-11,0.7303
1.3999E+01,2.70787E-11,1.0000
1.4100E+01,9.09387E-12,1.0000
