cell  80                                                                                                                              
      energy   
    0.0000E+00   0.00000E+00 0.0000
    2.5000E-08   8.22505E-18 0.3315
    1.0071E-01   4.84988E-09 0.0175
    2.0143E-01   5.95206E-09 0.0229
    3.0214E-01   6.14251E-09 0.0266
    4.0286E-01   6.31858E-09 0.0285
    5.0357E-01   6.95398E-09 0.0297
    6.0429E-01   6.54232E-09 0.0312
    7.0500E-01   7.07689E-09 0.0317
    8.0571E-01   6.84320E-09 0.0331
    9.0643E-01   7.21386E-09 0.0334
    1.0071E+00   7.50443E-09 0.0353
    1.1079E+00   7.50568E-09 0.0355
    1.2086E+00   7.61858E-09 0.0358
    1.3093E+00   7.77318E-09 0.0363
    1.4100E+00   7.89448E-09 0.0364
    1.5107E+00   7.63179E-09 0.0380
    1.6114E+00   7.52158E-09 0.0385
    1.7121E+00   7.40174E-09 0.0392
    1.8129E+00   7.72233E-09 0.0391
    1.9136E+00   7.49798E-09 0.0408
    2.0143E+00   7.40236E-09 0.0410
    2.1150E+00   7.18476E-09 0.0420
    2.2157E+00   7.35544E-09 0.0419
    2.3164E+00   7.67867E-09 0.0416
    2.4171E+00   7.07871E-09 0.0429
    2.5179E+00   7.22501E-09 0.0435
    2.6186E+00   6.63764E-09 0.0457
    2.7193E+00   6.35095E-09 0.0469
    2.8200E+00   5.88921E-09 0.0494
    2.9207E+00   4.99866E-09 0.0539
    3.0214E+00   5.71106E-09 0.0514
    3.1221E+00   6.31604E-09 0.0489
    3.2229E+00   5.92703E-09 0.0512
    3.3236E+00   5.40218E-09 0.0547
    3.4243E+00   5.32851E-09 0.0557
    3.5250E+00   5.02717E-09 0.0579
    3.6257E+00   5.28273E-09 0.0564
    3.7264E+00   4.90022E-09 0.0591
    3.8271E+00   4.68408E-09 0.0608
    3.9279E+00   5.28142E-09 0.0567
    4.0286E+00   5.72149E-09 0.0546
    4.1293E+00   5.71849E-09 0.0547
    4.2300E+00   5.54790E-09 0.0566
    4.3307E+00   4.51878E-09 0.0626
    4.4314E+00   4.83103E-09 0.0602
    4.5321E+00   5.47011E-09 0.0572
